file_name,Тип документа,Сценарий,Автор (почерк),Отправитель,Получатель,Дата,Место,Тема,Количество полей
01589_L.tif,Рукописное письмо,Управление страховым случаем,SABOURIN Elise,SABOURIN Elise,MANIF Assurances,,,,7
01583_L.tif,Рукописное письмо,Изменение контракта / заказа,GERBER Caroline,Melle Caroline GERBER,BMP - Banque Mutuelle\nde Paris,15/12/2006,Graufthal,,6
01586_L.tif,Рукописное письмо,Изменение контракта / заказа,CHAPPUIS Marie-noelle,CHAPPUIS Marie-Noelle,Les 3 Suifs,20/12/2006,Charly Oradour,Objet : Commande,7
01594_L.tif,Рукописное письмо,Изменение контракта / заказа,MOUSSAOUI Benoit,M. MOUSSAOUI BENOIT,,22/12/2006,ECKBOLSHEIM,OBJET : AUGMENTATION (x2) des quantités,6
01595_L.tif,Рукописное письмо,Изменение контракта / заказа,PICAVET Denise,Picavet Denise,Les 3 suifs,,,,5
01597_L.tif,Рукописное письмо,Запрос информации,PINTO Magali,Mlle Magali PINTO,MANIF Assurances,20/12/2006,BOERSCH,Objet : Demande de documentation concernant les contrats\nd'assurance auto,8
01584_L.tif,Рукописное письмо,Претензия,GAY Nathalie,Gay Nathalie,Brouille Telecom,,,,5
01585_L.tif,Рукописное письмо,Управление страховым случаем,ROUTIER Johnny,ROUTIER Johnny,NAIF Assurances,20/12/2006,Danne et quatre vents,"Objet : Couverture au titre de la responsabilité civile\nMadame, Monsieur,",7
01587_L.tif,Рукописное письмо,Запрос информации,WINTERSTEIN Patrick,Winterstein Patrick,A.N.P.E.,20/12/2006,Pierre la Treiche,Objet : demande d'horaire,7
01592_L.tif,Рукописное письмо,Изменение персональных данных,JOURDAN Louis,Jourdan Louis,La Redoute,,,,5
01596_L.tif,Рукописное письмо,Изменение персональных данных,JOACHIM Chantal,Mme JOACHIN Chantal,Banque Société Géniale,21/12/2006,Plan du Var,Objet : Nouvelles coordonnées postales,8
01588_L.tif,Рукописное письмо,Изменение контракта / заказа,FILALI Fabrice,Filali Fabrice,Les 3 suifs,,,,5
01598_L.tif,Рукописное письмо,Претензия,OLIVE Bernard,Bernard OLIVE,Mr le Maire,21/12/2006,ST Anne d'Evenos,Objet : Nuisances Sonores,8
01593_L.tif,Рукописное письмо,Безответное почтовое письмо,GUINET Agnes,GUINET Agnès,"Bimestriel ""Charité Bushido""",,,Objet : réclamation du mois dernier resté sans suite,6
01582_L.tif,Рукописное письмо,Изменение персональных данных,VALERE Geraldine,Valere Géraldine,Assedic-Assurance Chomage,19/12/2006,Banvillars,Objet : Nouvelles coordonnées bancaires.\n¤{Complement/Complément}¤ : changement de Banque.,8
01602_L.tif,Рукописное письмо,Открытие счёта,BOURGEON Alexandra,Bourgeon Alexandra,"Bimestriel ""Charité Bushido""",,,,5
01610_L.tif,Рукописное письмо,Открытие счёта,BONTE Charline,BONTE Charline,Univers Sale Mobile,,,Objet : Ouverture de compte,6
01607_L.tif,Рукописное письмо,Изменение контракта / заказа,MAREC Yvette,Mme Marec Yvette,Trésorerie des Impôts,18/12/2006,Hautcourt Marlauve,,9
01599_L.tif,Рукописное письмо,Трудности с денежным переводом,DUBAIL Sonia,DUBAIL Sonia,Les 3 Suifs,21/12/2006,Thonne les Prés,Objet : Demande d'échelonnement,7
01601_L.tif,Рукописное письмо,Изменение контракта / заказа,ARGOUD Florence,Argoud Florence,Les 3 Suifs,,,,7
01605_L.tif,Рукописное письмо,Изменение контракта / заказа,SCHMITT Maryse,SCHMITT Maryse,,21/12/2006,Dampvitoux,,5
01608_L.tif,Рукописное письмо,Изменение персональных данных,GUILLOT Stephane,GUILLOT Stéphane,BAAF ASSURANCES,26/12/2006,Fontoy,Objet : Nouvelles coordonnées téléphoniques,7
01604_L.tif,Рукописное письмо,Запрос информации,WOLFF Gauthier,WOLFF Gauthier,,21/12/2006,Wingen sur Moder,,5
01603_L.tif,Рукописное письмо,Изменение контракта / заказа,SY Stephanie,SY Stéphanie,Les 3 Suifs,21/12/2006,Grundviller,Objet : modification de commande,8
01609_L.tif,Рукописное письмо,Изменение контракта / заказа,BOIVIN Maylis,BOIVIN Maylis,LA REBOUTE,21/12/2006,,Objet : Commande de trois paires de chaussettes\n(réf du produit CH45-12),7
01600_L.tif,Рукописное письмо,Управление страховым случаем,BONNEMAISON Lionel,BONNEMAISON Lionnel,NNA Assurances,,,,5
01606_L.tif,Рукописное письмо,Безответное почтовое письмо,GENDRON Ophelie,Ophélie GENDRON,TRESORERIE DES IMPOTS,,,Objet: Relance de courrier sans réponse,6
01616_L.tif,Рукописное письмо,Изменение контракта / заказа,MARLIN Henriette,Henriette Marlin,Banque Société Géniale,20/12/2006,Roeschwoog,Objet : Augmentation des quantités d'actions boursières,7
01622_L.tif,Рукописное письмо,Изменение контракта / заказа,MARY Jordan,Mary Jordan,Tresorerie des impôts,,,,5
01625_L.tif,Рукописное письмо,Изменение контракта / заказа,LEVY Brigitte,Brigitte Levy,BMP,2126/12/2006,Kesseldorf,Objet: Commande d'actions boursières.,7
01624_L.tif,Рукописное письмо,Безответное почтовое письмо,ROZE Eugenie,ROZE Eugénie,BOF Telecom,21/12/2006,Barr,Objet : Notification de changement d'adresse,8
01619_L.tif,Рукописное письмо,Изменение персональных данных,GUINE Francine,Francine GUINE,NNA Assurances,20/12/2006,Bacourt,Objet : changement de coordonnées bancaires,7
01618_L.tif,Рукописное письмо,Изменение контракта / заказа,COUDRAY Rolande,Rolande COUDRAY,La Reboute,20/12/2006,Bouxières aux Dames,Objet : modification de commande,7
01623_L.tif,Рукописное письмо,Изменение контракта / заказа,LANGLOIS Emilienne,Emilienne LANGLOIS,Les 3 Suifs,23/12/2006,,Objet : Modification de ma commande,8
01615_L.tif,Рукописное письмо,Закрытие счёта,VIOLETTE Eugene,Eugène Violette,,22/12/2006,Sollies Toucas,Objet : fermeture de compte bancaire,7
01620_L.tif,Рукописное письмо,Изменение контракта / заказа,COSTES Florence,Mme Florence COSTES,La Reboute,21/12/2006,Dombasle en Xaintois,,6
01621_L.tif,Рукописное письмо,Изменение контракта / заказа,LENAIN Martine,LENAIN Martine,Banque Crédit Populaire,26/12/2006,,Objet : Modiication de commande,7
01614_L.tif,Рукописное письмо,Безответное почтовое письмо,LE MARCHAND Julie,LE MARCHAND Julie,,23/12/2006,VAIVRE ET MONTOILLE,Objet: demande d'information restée sans effet.,6
01617_L.tif,Рукописное письмо,Управление страховым случаем,DAMOUR Paula,Paula DAMOUR,NAIF Assurances,20/12/2006,Hindisheim,Objet : couverture au titre de la responsabilité civile.,8
01611_L.tif,Рукописное письмо,Изменение персональных данных,GUICHARD Maeva,Mme Guichard Maeva,"""Fleurs et Merguez""",18/12/2006,Verny,,6
01613_L.tif,Рукописное письмо,Безответное почтовое письмо,FALCK Bruno,M. Falck Bruno,,22/12/2006,,OBJET: Demande de résiliation\nnon prise en compte,6
01612_L.tif,Рукописное письмо,Трудности с денежным переводом,DESGRANGES Clement,Desgranges Clément,EDF,,,,5
01633_L.tif,Рукописное письмо,Управление страховым случаем,PIERRE Melanie,Mlle PIERRE Mélanie,BAAF Assurances,,,Objet : Gestion de sinistre,7
01638_L.tif,Рукописное письмо,Изменение персональных данных,LE BAIL Sandra,LE BAIL SANDRA,Sépa FR Téléphonie,20/12/2006,Albestroff,Objet : Changement de coordonnées bancaires,9
01632_L.tif,Рукописное письмо,Управление страховым случаем,BOU Tahar,M BOV Tahar,BAAF Assurances,20/12/2006,,,6
01640_L.tif,Рукописное письмо,Запрос информации,TURQUET Jimmy,TURQUET Jimmy,BROUILLE TELECOM,22/12/2006,Montbouton,Objet : Demande de catalogue de vos produits,7
01641_L.tif,Рукописное письмо,Изменение контракта / заказа,PRUVOT Eliane,Eliane PRUVOT,Les 3 Suifs,20/12/2006,Rognac,Objet : Commande,7
01629_L.tif,Рукописное письмо,Изменение контракта / заказа,GUILLET Marie,Guillet Marie,BMP - Banque Mutuelle de Paris,26/12/2006,Lille,Objet : commande d'actions  boursières pour un montant de 1500 €. SOPJL20,7
01635_L.tif,Рукописное письмо,Закрытие счёта,DECAMPS Marc,DECAMPS MARC,,21/12/2006,Mondorff,Objet : fermeture de compte,7
01631_L.tif,Рукописное письмо,Изменение контракта / заказа,POUZET Myriam,Myriam POUZET,,21/12/2006,Oberdorf,,5
01627_L.tif,Рукописное письмо,Запрос информации,PLANTE Jean,Jean PLANTE,,24/12/2006,Bischheim,Objet : Demande de documdentation concernant les contrats d'assurance auto,7
01639_L.tif,Рукописное письмо,Запрос информации,MEYER Nicolas,Mr Meyer,,21/12/2006,Chatel ST Germain,,5
01636_L.tif,Рукописное письмо,Управление страховым случаем,FIEVET Emeline,Fimet Emeline,,,,Objet : ¤couverture¤ au titre de ma respnsabilité civile,7
01644_L.tif,Рукописное письмо,Изменение персональных данных,DELETANG Rose-marie,DELETANG Rose-Marie,A.N.P.E,22/12/2006,Kientzville,Objet : Changement d'adresse\nRéf dossier BALEG-10,7
01628_L.tif,Рукописное письмо,Изменение контракта / заказа,EUSTACHE Etienne,M. E. EUSTACHE,Les 3 Suifs,14/12/2006,Giromagny,,7
01643_L.tif,Рукописное письмо,Изменение контракта / заказа,FOURMOND Loetitia,Me FOURMOND Laetitia,Banque Sociale Géniale,19/12/2006,Villersexel,,7
01630_L.tif,Рукописное письмо,Изменение контракта / заказа,DELAUNAY Cassandra,Melle Delaunay Cassandra,Les 3 Suifs,,,Objet : Annulation de Cde.,7
01637_L.tif,Рукописное письмо,Трудности с денежным переводом,BOUZID Charlotte,Charlotte BOUZID,Trésorerie des impôts,,,Objet : Demande d'échelonnement,7
01634_L.tif,Рукописное письмо,Запрос информации,BONTEMPS Sarah,Sarah BONTEMPS,NNA Assurances,22/12/2006,Kurtzenhouse,Objet : demande d'information et de documentation\nsur les contrats d'assurance auto.,7
01642_L.tif,Рукописное письмо,Безответное почтовое письмо,CASTELAIN Marion,Mme CASTELAIN Marion,EDF,18/12/2006,Eguenigue,,7
01645_L.tif,Рукописное письмо,Изменение контракта / заказа,PALERMO Marc,M. PALERMO Marc,La Reboute,18/12/2006,DABO,,7
01626_L.tif,Рукописное письмо,Закрытие счёта,LE PROVOST Bruno,Le Provost Bruno,Banque Crédit Populaire,18/12/2006,Omelmont,Objet : fermeture de compte bancaire,8
01654_L.tif,Рукописное письмо,Запрос информации,FOUET Jennifer,Melle FOUET Jennifer,FRANCE TELEPHONE,16/12/2006,Insming,,7
01660_L.tif,Рукописное письмо,Претензия,ALLIX Alexane,ALLIX Alexane,Univers Sale Mobile,19/12/2006,Sausses,Objet : Demande de remboursement,8
01664_L.tif,Рукописное письмо,Изменение персональных данных,GARIN Annie,GARIN Annie,GDF,21/12/2006,KIRCHBERG,Objet : Nouvelles coordonnées postales,7
01653_L.tif,Рукописное письмо,Запрос информации,POIRON Fernande,Mme POIRON Fernande,Sépa FR Téléphonie,21/12/2006,Glay,,6
01657_L.tif,Рукописное письмо,Запрос информации,PARISSE Justine,Justine PARISSE,MANIF assurances,22/12/2006,Sarreinsining,Objet Demande documentation assurance auto,9
01661_L.tif,Рукописное письмо,Запрос информации,VOGEL Rayane,VOGEL Rayane,Banque Crédit Populaire,19/12/2006,Bonvillet,Objet : demande de catalogue des produits proposés,7
01655_L.tif,Рукописное письмо,Безответное почтовое письмо,BRUN Fanny,Fanny BRUN,,21/12/2006,,,5
01665_L.tif,Рукописное письмо,Закрытие счёта,DELEPINE Augustin,DELEPINE Augustin,Banque Débit Lyonnais,18/12/2006,JOEUF,Objet : Fermeture du compte n° 00061890612,8
01651_L.tif,Рукописное письмо,Изменение контракта / заказа,FLOCH Lola,FLOCH Lola,Trésorerie des impôts,20/12/2006,Hettampe,,6
01647_L.tif,Рукописное письмо,Претензия,COMBY Frederique,COMBY Frederique,MAIRIE,22/12/2006,,,6
01648_L.tif,Рукописное письмо,Изменение контракта / заказа,DUVEAU Tarik,Tarik DUVEAU,Banque Débit Lyonnais,20/12/2006,Marlenheim,,6
01662_L.tif,Рукописное письмо,Безответное почтовое письмо,LE SAUX Laurent,LE SAUX Laurent,GDF,22/12/2006,Mundolsheim,Objet : Relance de demande d'information,7
01649_L.tif,Рукописное письмо,Претензия,DELAYE Magali,Madame Delaye Magali,Mairie,14/12/2006,Schaeffersheim,Objet : réclamation,7
01646_L.tif,Рукописное письмо,Управление страховым случаем,LEBRETON Florence,LEBRETON Florence,NNA Assurances,,,,6
01659_L.tif,Рукописное письмо,Изменение персональных данных,BRETTE Nathanael,BRETTE Nathanael,BANQUE SOCIÉTE\nGéniale,18/12/2006,Sand,Objet : Nouvelles coordonnées postales.,9
01652_L.tif,Рукописное письмо,Управление страховым случаем,COCU Thierry,Thierry COCU,NAIF Assurances,20/12/2006,Bitche,,7
01658_L.tif,Рукописное письмо,Изменение контракта / заказа,BISSON Joseph,Joseph BISSON,La Reboute,21/12/2006,PETITEFONTAINE,,7
01663_L.tif,Рукописное письмо,Закрытие счёта,TRAORE Jennifer,TRAORE Jennifer,NNA Assurances,21/12/2006,,Objet : Résiliation d'assurance auto,8
01656_L.tif,Рукописное письмо,Изменение персональных данных,MAISONNEUVE Antoinette,Maisonneuve Antoinette,Banque Société Géniale,23/12/2006,,,6
01650_L.tif,Рукописное письмо,Запрос информации,PY Jean-luc,PY Jean Luc,BAAF ASSURANCES,,,OBJET\nDemande de précisions\nsur votre dernière facture,9
01673_L.tif,Рукописное письмо,Запрос информации,CHAUVEAU Ilona,Mme Chauveau Ilora,,,,Objet : Demande de documentation concernant les contrats\nd'assurance vie.,6
01668_L.tif,Рукописное письмо,Запрос информации,HOUEL Serge,HOUEL Serge,Banque débit lyonnais,22/12/2006,Nancy,,7
01666_L.tif,Рукописное письмо,Запрос информации,SCHMIT Daniele,Daniele SCHMIT,LA POSTE,26/12/2006,Dauendorf,,6
01676_L.tif,Рукописное письмо,Изменение контракта / заказа,GREGOIRE Philippe,GREGOIRE Philippe,Les 3 Suifs,21/12/2006,,,6
01681_L.tif,Рукописное письмо,Открытие счёта,LEGROUX Alisson,LEGROUX Alisson,Magasine Déo,20/12/2006,,objet : demande d'abonnement.,9
01679_L.tif,Рукописное письмо,Трудности с денежным переводом,CAUDRON Gabrielle,CAUDRON Gabrielle,La Reboute,26/12/2006,ST André,Objet : demande d'échelonnement,7
01678_L.tif,Рукописное письмо,Безответное почтовое письмо,DE BRITO Vanessa,DE BRITO Vanessa,Monsieur le Directeur,23/12/2006,Ransbach,Objet : Remboursement de soins reçus à l'étranger.,8
01669_L.tif,Рукописное письмо,Запрос информации,BENALI Marc,BENALI Marc,La Reboute,26/12/2006,,,8
01682_L.tif,Рукописное письмо,Изменение персональных данных,DEVOS Lucien,DEVOS Lucien,Débit Lyonnais,27/12/2006,Neuve Eglise,,7
01685_L.tif,Рукописное письмо,Изменение персональных данных,VION Jean-luc,Mr VION Jean-Luc,BMP - BANQUE MUTUELLE\nDE PARIS,,,Objet : Nouvelles coordonnées postales,5
01667_L.tif,Рукописное письмо,Открытие счёта,BARGE Arlette,Mme BARGE ARLETTE,,26/12/2006,Zinswiller,,5
01684_L.tif,Рукописное письмо,Претензия,PETER Sarah,PETER Sarah,Brouille Telecom,27/12/2006,BERNWILLER,,6
01683_L.tif,Рукописное письмо,Безответное почтовое письмо,BOUCHER Corine,Mme BOUCHER Corinne,BAAF Assurances,26/12/2006,VIEUX FERRETTE,objet : réclamation restée sans suite,8
01677_L.tif,Рукописное письмо,Изменение контракта / заказа,BOURQUIN Victoria,BOUROUIN VICTORIA,LES 3 SUIFS,,,,5
01671_L.tif,Рукописное письмо,Трудности с денежным переводом,DE OLIVEIRA Cyril,Cyril DE OLIVEIRA,GDF,24/12/2006,Raedersheim,Objet : Demande de remise gracieuse,7
01680_L.tif,Рукописное письмо,Изменение персональных данных,LE ROUZIC Jean-michel,Le Razic Jean-Michel,ASSEDIC,26/12/2006,,objet : changement de situation civile,8
01672_L.tif,Рукописное письмо,Изменение персональных данных,REBOURS Marie-laure,Marie-Laure Rebours,GDF,19/12/2006,Braderdorff,objet : changement d'adresse,7
01675_L.tif,Рукописное письмо,Изменение контракта / заказа,CODRON Cyrille,CODRON CYRILLE,LA REBOUTE,,,,5
01670_L.tif,Рукописное письмо,Безответное почтовое письмо,POUGET Arnaud,ARNAUD POUGET,,25/12/2006,GEUDERTHEIM,Objet : Changement d'adresse.,6
01674_L.tif,Рукописное письмо,Трудности с денежным переводом,MONVOISIN Simonne,Simonne MONVOISIN,GDF,27/12/2006,Belfort,Objet : Demande de remise gracieuse.,8
01695_L.tif,Рукописное письмо,Запрос информации,COUPET Anne-sophie,COUPET Anne-Sophie,,21/12/2006,FALICON,Objet : Demande de documentation.,6
01702_L.tif,Рукописное письмо,Изменение контракта / заказа,JEANNEAU Honore,Honoré JEANNEAU,Monsieur le directeur,23/12/2006,,OBJET : Commande d'actions boursières,8
01698_L.tif,Рукописное письмо,Управление страховым случаем,GRAUX Serge,Groux Serge,BAAF\nAssurances,,,,5
01704_L.tif,Рукописное письмо,Безответное почтовое письмо,RAUX Guillaume,RAUX Guillaume,ANPE - Agence Nationale Pour l'Emploi,22/12/2006,Wissembourg,Objet : Changement de données personnelles non pris en compte,10
01701_L.tif,Рукописное письмо,Запрос информации,METGE Marie-claire,Marie-Claire Metge,BAAF Assurance,27/12/2006,ILLZACH,,7
01687_L.tif,Рукописное письмо,Запрос информации,GELIN Justine,GELIN Justine,BAAF ASSURANCES,27/12/2006,Etobon,,7
01692_L.tif,Рукописное письмо,Изменение персональных данных,GUILLON Vincent,GUILLON VINCENT,Monsieur le Directeur,28/12/2006,KERPRICH,objet : nouvelle situation\nfamiliale.\nréf : LANMK26,9
01693_L.tif,Рукописное письмо,Запрос информации,GONCALVES Corinne,Corinne GONCALVES,,29/12/2006,Sessenheim,,5
01691_L.tif,Рукописное письмо,Изменение персональных данных,DUMONT Djamila,Dumart Djamila,Agence Nationale Pour l'Emploi,,,,5
01686_L.tif,Рукописное письмо,Претензия,JULIA Karine,JULIA Karine,Les 3 Suifs,,,Objet :\nRéclamation,5
01694_L.tif,Рукописное письмо,Управление страховым случаем,JACQUES Bernard,JACQUES Bernard,MANIF Assurances,15/12/2006,TENDE,,7
01703_L.tif,Рукописное письмо,Изменение контракта / заказа,LAURET Jerome,LAURET Jerome,BMP - Banque Mutuelle de Paris,25/12/2006,OTTROTT,Objet : Diminution des versements sur Plan Epargne Logement,7
01688_L.tif,Рукописное письмо,Запрос информации,CLEMENCON Chaima,Clemencon Chaima,Sépa FR Téléphonie,02/03/2007,Saulnes,Objet : Demande d'information.,7
01690_L.tif,Рукописное письмо,Изменение контракта / заказа,PONCET Marie,Mme Marie PONCET,Banque Crédit Populaire,,,,5
01696_L.tif,Рукописное письмо,Запрос информации,PEREZ Annabelle,Annabelle PEREZ,Manif Assurances,27/12/2006,Hilsenheim,,6
01699_L.tif,Рукописное письмо,Изменение контракта / заказа,POTTIER Mathieu,POTTIER Mathieu,Les 3 Suifs,24/12/2006,Riedwihr,Objet augmentation des quantités\nde chaussettes commandées,9
01689_L.tif,Рукописное письмо,Изменение контракта / заказа,GUILLEMOT Michel,M. Michel Guillemot,Banque Crédit Populaire,,,,5
01700_L.tif,Рукописное письмо,Открытие счёта,TREVISAN Mickael,Mickael Trevisan,Monsieur le directeur,13/12/2006,Houdan,Objet : ouverture de compte,7
01697_L.tif,Рукописное письмо,Запрос информации,TOUIL Sabri,Touil Sabri,membre du personnel,18/12/2006,Gunstett,Objet : Renseignement sur les horaires d'accueil du public.,8
01720_L.tif,Рукописное письмо,Открытие счёта,DAUMONT Laurence,Laurence Daumont,BAAF Assurances,02/01/2007,Chamerol,,6
01716_L.tif,Рукописное письмо,Изменение контракта / заказа,LEGRIX Isabelle,LEGRIX Isabelle,Les 3 SUIFS,26/12/2006,,,6
01723_L.tif,Рукописное письмо,Изменение контракта / заказа,LEROUX Marcel,LEROUX Marcel,les 3 SUIFS,02/01/2007,Wittenheim,Objet : doublement des quantités de produits commandés,7
01713_L.tif,Рукописное письмо,Закрытие счёта,BOSSE Emilie,BOSSE Emilie,NNA Assurances,27/12/2006,MONBOUTON,Objet : Résiliation de mon assurance automobile,8
01708_L.tif,Рукописное письмо,Управление страховым случаем,RENOU Delphine,Mme RENOU Delphine,NNA Assurances,19/12/2006,Villey-le-sec,,7
01719_L.tif,Рукописное письмо,Трудности с денежным переводом,METZ Ghislaine,Madame Ghislaine METZ,FRANCE TELEPHONE,26/12/2006,Rottelsheim,"OBJET : difficulté de paiement, demande d'échelonnement",8
01705_L.tif,Рукописное письмо,Изменение персональных данных,BRUNIER Pascale,Pascale Brunier,NNA Assurances,,,Objet : Nouvelle situation familiale,9
01717_L.tif,Рукописное письмо,Запрос информации,BINET Adeline,Mme BINET Adeline,BAAF Assurances,27/12/2006,Merserange le 27 Décembre 2006,,8
01707_L.tif,Рукописное письмо,Открытие счёта,LADET Stephanie,LADET Stéphanie,Mensuel Fleurs & Merguez,21/12/2006,Sancey Le Long,Objet : ouverture abonnement,7
01721_L.tif,Рукописное письмо,Закрытие счёта,MINVIELLE Charline,Charlène Minvielle,NNA Assurances,31/12/2006,,,5
01712_L.tif,Рукописное письмо,Управление страховым случаем,VILLAUME Franck,VILLAUME Franck,N.N.A. Assurances,27/12/2006,Ribeauville,Objet = Couverture responsabilité civile,7
01709_L.tif,Рукописное письмо,Закрытие счёта,MONGIN Jean-yves,Jean-Yves MONGIN,BANQUE DEBIT LYONNAIS,26/12/2006,,,7
01706_L.tif,Рукописное письмо,Трудности с денежным переводом,LEQUEUX Maryvonne,Maryvonne LEQUEUX,EDF,22/12/2006,Habsheim,Objet : Demande de remise,8
01724_L.tif,Рукописное письмо,Запрос информации,DOUILLARD Christiane,Mme DOUILLARD Christiane,ANPE,Raedersheim,le 26/12/06,Objet\nDemande d'informations,7
01710_L.tif,Рукописное письмо,Изменение контракта / заказа,GABRIEL Anna,Gabriel Anna,Banque Débit\nLyonnais,,,,7
01714_L.tif,Рукописное письмо,Запрос информации,ALARCON Emma,Melle ALARCON Emma,MANIF ASSURANCES,,,,5
01722_L.tif,Рукописное письмо,Управление страховым случаем,FOUCHER Constance,FOUCHER Constance,BAAF,01/01/2007,Lapartroie,,7
01711_L.tif,Рукописное письмо,Изменение контракта / заказа,ROUSSE Luc,ROUSSE Luc,La Reboute,24/12/2006,le Bonhomme,objet : commande de 3 paires de chaussettes,7
01715_L.tif,Рукописное письмо,Изменение контракта / заказа,POUPON Manon,Poupon Manon,Trésorerie des impôts,26/12/2006,Altrippe,Objet : Demande de Mensualisation de l'impôt sur le revenu.,7
01718_L.tif,Рукописное письмо,Закрытие счёта,JUND Louis,LOUIS JUND,Manif Assurances,26/12/2006,Hérimoncourt,,6
01744_L.tif,Рукописное письмо,Претензия,SOUFFLET Pascal,SOUFFLET Pascal,POLICE NATIONALE,,,Objet : plainte pour nuisances sonores.,6
01730_L.tif,Рукописное письмо,,PERROUD Marie-andree,Perroud Mare Andrée,EDF,26/12/2006,Lomblaine,Objet :\nXL99RX\ndemande de remise gracieuse,10
01740_L.tif,Рукописное письмо,Запрос информации,DUQUENNE Manon,Duquenne Manon,Banque Mutuelle de Paris,,,Concerne : Précision sur ma facture,7
01734_L.tif,Рукописное письмо,Изменение персональных данных,DESJARDINS Daniele,Des Jardins Danièle,SépaFR Téléphonie,03/01/2007,,Objet : Nouvelles coordonnées bancaires,7
01727_L.tif,Рукописное письмо,Безответное почтовое письмо,JEANNEAU Benoit,Monsieur JEANNEAU Benoit,Banque Société Géniale,16/12/2006,Brest,,7
01735_L.tif,Рукописное письмо,Открытие счёта,CARTERON Luna,Melle CARTERON Luna,"Mensuel ""Fleurs et Merguez""",,,,5
01731_L.tif,Рукописное письмо,Запрос информации,PASTOR Viviane,Mlle PASTOR Viviane,MANIF Assurances,,,,5
01743_L.tif,Рукописное письмо,Запрос информации,BRUNO Jean,Jean BRUNO,GDF,,,Objet : Demande de renseignements sur ma dernière facture,7
01738_L.tif,Рукописное письмо,,SIMARD Corine,Corine Simard,Banque Société géniale,26/12/2006,Paris,Objet : Nouvelles Coordonnées téléphoniques.,7
01737_L.tif,Рукописное письмо,Изменение персональных данных,CHRETIEN Jean-louis,CHRETIEN Jean-Louis,CAF - Caisse d'Allocations Familiales,02/01/2007,Flayosc,Objet : Nouvelle situation familiale,7
01729_L.tif,Рукописное письмо,Открытие счёта,CARRE Nicole,Mlle Nicole Tarré,Service abonnement,,,,6
01736_L.tif,Рукописное письмо,Запрос информации,VERWAERDE Marion,Marion VERWAERDE,GDF,28/12/2006,Vezelise,Objet : Montant facture octobre/novembre 2006,8
01739_L.tif,Рукописное письмо,Изменение контракта / заказа,VERA Mariam,Vera Mariam,Banque Debit Lyonais,,,Objet : Diminution des versements sur mon PEL,6
01733_L.tif,Рукописное письмо,Закрытие счёта,BARDOT Yvon,BARDOT YVON,BMP,29/12/2006,,,7
01741_L.tif,Рукописное письмо,Запрос информации,COTE Joelle,COTE Joëlle,BAAF Assurances,,,Objet : Demande de documentation concernant les contrats d'assurance habitation,7
