file_name,Корреспондент (Отправитель),Дата письма,Номер письма (Reference),Адресат (Получатель),Подписант (Подпись),Доп. информация
01594_L.tif,M. MOUSSAOUI BENOIT,22/12/2006 (ECKBOLSHEIM),01594,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MOUSSAOUI Benoit"
01595_L.tif,Picavet Denise,,01595,Les 3 suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PICAVET Denise"
01597_L.tif,Mlle Magali PINTO,20/12/2006 (BOERSCH),01597,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: PINTO Magali"
01584_L.tif,Gay Nathalie,,01584,Brouille Telecom,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: GAY Nathalie"
01585_L.tif,ROUTIER Johnny,20/12/2006 (Danne et quatre vents),01585,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: ROUTIER Johnny"
01587_L.tif,Winterstein Patrick,20/12/2006 (Pierre la Treiche),01587,A.N.P.E.,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: WINTERSTEIN Patrick"
01592_L.tif,Jourdan Louis,,01592,La Redoute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: JOURDAN Louis"
01596_L.tif,Mme JOACHIN Chantal,21/12/2006 (Plan du Var),01596,Banque Société Géniale,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: JOACHIM Chantal"
01588_L.tif,Filali Fabrice,,01588,Les 3 suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: FILALI Fabrice"
01598_L.tif,Bernard OLIVE,21/12/2006 (ST Anne d'Evenos),01598,Mr le Maire,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: OLIVE Bernard"
01593_L.tif,GUINET Agnès,,01593,"Bimestriel ""Charité Bushido""","[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: GUINET Agnes"
01582_L.tif,Valere Géraldine,19/12/2006 (Banvillars),01582,Assedic-Assurance Chomage,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: VALERE Geraldine"
01602_L.tif,Bourgeon Alexandra,,01602,"Bimestriel ""Charité Bushido""","[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: BOURGEON Alexandra"
01610_L.tif,BONTE Charline,,01610,Univers Sale Mobile,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: BONTE Charline"
01607_L.tif,Mme Marec Yvette,18/12/2006 (Hautcourt Marlauve),01607,Trésorerie des Impôts,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MAREC Yvette"
01599_L.tif,DUBAIL Sonia,21/12/2006 (Thonne les Prés),01599,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: DUBAIL Sonia"
01601_L.tif,Argoud Florence,,01601,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: ARGOUD Florence"
01605_L.tif,SCHMITT Maryse,21/12/2006 (Dampvitoux),01605,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: SCHMITT Maryse"
01608_L.tif,GUILLOT Stéphane,26/12/2006 (Fontoy),01608,BAAF ASSURANCES,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: GUILLOT Stephane"
01604_L.tif,WOLFF Gauthier,21/12/2006 (Wingen sur Moder),01604,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: WOLFF Gauthier"
01603_L.tif,SY Stéphanie,21/12/2006 (Grundviller),01603,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: SY Stephanie"
01609_L.tif,BOIVIN Maylis,21/12/2006,01609,LA REBOUTE,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BOIVIN Maylis"
01600_L.tif,BONNEMAISON Lionnel,,01600,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: BONNEMAISON Lionel"
01606_L.tif,Ophélie GENDRON,,01606,TRESORERIE DES IMPOTS,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: GENDRON Ophelie"
01616_L.tif,Henriette Marlin,20/12/2006 (Roeschwoog),01616,Banque Société Géniale,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MARLIN Henriette"
01622_L.tif,Mary Jordan,,01622,Tresorerie des impôts,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MARY Jordan"
01625_L.tif,Brigitte Levy,2126/12/2006 (Kesseldorf),01625,BMP,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LEVY Brigitte"
01624_L.tif,ROZE Eugénie,21/12/2006 (Barr),01624,BOF Telecom,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: ROZE Eugenie"
01619_L.tif,Francine GUINE,20/12/2006 (Bacourt),01619,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: GUINE Francine"
01618_L.tif,Rolande COUDRAY,20/12/2006 (Bouxières aux Dames),01618,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: COUDRAY Rolande"
01623_L.tif,Emilienne LANGLOIS,23/12/2006,01623,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LANGLOIS Emilienne"
01615_L.tif,Eugène Violette,22/12/2006 (Sollies Toucas),01615,,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: VIOLETTE Eugene"
01620_L.tif,Mme Florence COSTES,21/12/2006 (Dombasle en Xaintois),01620,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: COSTES Florence"
01621_L.tif,LENAIN Martine,26/12/2006,01621,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LENAIN Martine"
01614_L.tif,LE MARCHAND Julie,23/12/2006 (VAIVRE ET MONTOILLE),01614,,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: LE MARCHAND Julie"
01617_L.tif,Paula DAMOUR,20/12/2006 (Hindisheim),01617,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: DAMOUR Paula"
01611_L.tif,Mme Guichard Maeva,18/12/2006 (Verny),01611,"""Fleurs et Merguez""","[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: GUICHARD Maeva"
01613_L.tif,M. Falck Bruno,22/12/2006,01613,,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: FALCK Bruno"
01612_L.tif,Desgranges Clément,,01612,EDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: DESGRANGES Clement"
01633_L.tif,Mlle PIERRE Mélanie,,01633,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: PIERRE Melanie"
01638_L.tif,LE BAIL SANDRA,20/12/2006 (Albestroff),01638,Sépa FR Téléphonie,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: LE BAIL Sandra"
01632_L.tif,M BOV Tahar,20/12/2006,01632,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: BOU Tahar"
01640_L.tif,TURQUET Jimmy,22/12/2006 (Montbouton),01640,BROUILLE TELECOM,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: TURQUET Jimmy"
01641_L.tif,Eliane PRUVOT,20/12/2006 (Rognac),01641,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PRUVOT Eliane"
01629_L.tif,Guillet Marie,26/12/2006 (Lille),01629,BMP - Banque Mutuelle de Paris,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: GUILLET Marie"
01635_L.tif,DECAMPS MARC,21/12/2006 (Mondorff),01635,,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: DECAMPS Marc"
01631_L.tif,Myriam POUZET,21/12/2006 (Oberdorf),01631,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: POUZET Myriam"
01627_L.tif,Jean PLANTE,24/12/2006 (Bischheim),01627,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: PLANTE Jean"
01639_L.tif,Mr Meyer,21/12/2006 (Chatel ST Germain),01639,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: MEYER Nicolas"
01636_L.tif,Fimet Emeline,,01636,,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: FIEVET Emeline"
01644_L.tif,DELETANG Rose-Marie,22/12/2006 (Kientzville),01644,A.N.P.E,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: DELETANG Rose-marie"
01628_L.tif,M. E. EUSTACHE,14/12/2006 (Giromagny),01628,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: EUSTACHE Etienne"
01643_L.tif,Me FOURMOND Laetitia,19/12/2006 (Villersexel),01643,Banque Sociale Géniale,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: FOURMOND Loetitia"
01630_L.tif,Melle Delaunay Cassandra,,01630,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: DELAUNAY Cassandra"
01637_L.tif,Charlotte BOUZID,,01637,Trésorerie des impôts,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: BOUZID Charlotte"
01634_L.tif,Sarah BONTEMPS,22/12/2006 (Kurtzenhouse),01634,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BONTEMPS Sarah"
01642_L.tif,Mme CASTELAIN Marion,18/12/2006 (Eguenigue),01642,EDF,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: CASTELAIN Marion"
01645_L.tif,M. PALERMO Marc,18/12/2006 (DABO),01645,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PALERMO Marc"
01626_L.tif,Le Provost Bruno,18/12/2006 (Omelmont),01626,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: LE PROVOST Bruno"
01654_L.tif,Melle FOUET Jennifer,16/12/2006 (Insming),01654,FRANCE TELEPHONE,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: FOUET Jennifer"
01660_L.tif,ALLIX Alexane,19/12/2006 (Sausses),01660,Univers Sale Mobile,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: ALLIX Alexane"
01664_L.tif,GARIN Annie,21/12/2006 (KIRCHBERG),01664,GDF,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: GARIN Annie"
01653_L.tif,Mme POIRON Fernande,21/12/2006 (Glay),01653,Sépa FR Téléphonie,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: POIRON Fernande"
01657_L.tif,Justine PARISSE,22/12/2006 (Sarreinsining),01657,MANIF assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: PARISSE Justine"
01661_L.tif,VOGEL Rayane,19/12/2006 (Bonvillet),01661,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: VOGEL Rayane"
01655_L.tif,Fanny BRUN,21/12/2006,01655,,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: BRUN Fanny"
01665_L.tif,DELEPINE Augustin,18/12/2006 (JOEUF),01665,Banque Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: DELEPINE Augustin"
01651_L.tif,FLOCH Lola,20/12/2006 (Hettampe),01651,Trésorerie des impôts,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: FLOCH Lola"
01647_L.tif,COMBY Frederique,22/12/2006,01647,MAIRIE,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: COMBY Frederique"
01648_L.tif,Tarik DUVEAU,20/12/2006 (Marlenheim),01648,Banque Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: DUVEAU Tarik"
01662_L.tif,LE SAUX Laurent,22/12/2006 (Mundolsheim),01662,GDF,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: LE SAUX Laurent"
01649_L.tif,Madame Delaye Magali,14/12/2006 (Schaeffersheim),01649,Mairie,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: DELAYE Magali"
01646_L.tif,LEBRETON Florence,,01646,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: LEBRETON Florence"
01659_L.tif,BRETTE Nathanael,18/12/2006 (Sand),01659,BANQUE SOCIÉTE\nGéniale,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: BRETTE Nathanael"
01652_L.tif,Thierry COCU,20/12/2006 (Bitche),01652,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: COCU Thierry"
01658_L.tif,Joseph BISSON,21/12/2006 (PETITEFONTAINE),01658,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BISSON Joseph"
01663_L.tif,TRAORE Jennifer,21/12/2006,01663,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: TRAORE Jennifer"
01656_L.tif,Maisonneuve Antoinette,23/12/2006,01656,Banque Société Géniale,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: MAISONNEUVE Antoinette"
01650_L.tif,PY Jean Luc,,01650,BAAF ASSURANCES,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: PY Jean-luc"
01673_L.tif,Mme Chauveau Ilora,,01673,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: CHAUVEAU Ilona"
01668_L.tif,HOUEL Serge,22/12/2006 (Nancy),01668,Banque débit lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: HOUEL Serge"
01666_L.tif,Daniele SCHMIT,26/12/2006 (Dauendorf),01666,LA POSTE,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: SCHMIT Daniele"
01676_L.tif,GREGOIRE Philippe,21/12/2006,01676,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: GREGOIRE Philippe"
01681_L.tif,LEGROUX Alisson,20/12/2006,01681,Magasine Déo,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: LEGROUX Alisson"
01679_L.tif,CAUDRON Gabrielle,26/12/2006 (ST André),01679,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: CAUDRON Gabrielle"
01678_L.tif,DE BRITO Vanessa,23/12/2006 (Ransbach),01678,Monsieur le Directeur,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: DE BRITO Vanessa"
01669_L.tif,BENALI Marc,26/12/2006,01669,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BENALI Marc"
01682_L.tif,DEVOS Lucien,27/12/2006 (Neuve Eglise),01682,Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: DEVOS Lucien"
01685_L.tif,Mr VION Jean-Luc,,01685,BMP - BANQUE MUTUELLE\nDE PARIS,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: VION Jean-luc"
01667_L.tif,Mme BARGE ARLETTE,26/12/2006 (Zinswiller),01667,,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: BARGE Arlette"
01684_L.tif,PETER Sarah,27/12/2006 (BERNWILLER),01684,Brouille Telecom,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: PETER Sarah"
01683_L.tif,Mme BOUCHER Corinne,26/12/2006 (VIEUX FERRETTE),01683,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: BOUCHER Corine"
01677_L.tif,BOUROUIN VICTORIA,,01677,LES 3 SUIFS,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BOURQUIN Victoria"
01671_L.tif,Cyril DE OLIVEIRA,24/12/2006 (Raedersheim),01671,GDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: DE OLIVEIRA Cyril"
01680_L.tif,Le Razic Jean-Michel,26/12/2006,01680,ASSEDIC,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: LE ROUZIC Jean-michel"
01672_L.tif,Marie-Laure Rebours,19/12/2006 (Braderdorff),01672,GDF,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: REBOURS Marie-laure"
01675_L.tif,CODRON CYRILLE,,01675,LA REBOUTE,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: CODRON Cyrille"
01670_L.tif,ARNAUD POUGET,25/12/2006 (GEUDERTHEIM),01670,,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: POUGET Arnaud"
01674_L.tif,Simonne MONVOISIN,27/12/2006 (Belfort),01674,GDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: MONVOISIN Simonne"
01695_L.tif,COUPET Anne-Sophie,21/12/2006 (FALICON),01695,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: COUPET Anne-sophie"
01702_L.tif,Honoré JEANNEAU,23/12/2006,01702,Monsieur le directeur,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: JEANNEAU Honore"
01698_L.tif,Groux Serge,,01698,BAAF\nAssurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: GRAUX Serge"
01704_L.tif,RAUX Guillaume,22/12/2006 (Wissembourg),01704,ANPE - Agence Nationale Pour l'Emploi,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: RAUX Guillaume"
01701_L.tif,Marie-Claire Metge,27/12/2006 (ILLZACH),01701,BAAF Assurance,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: METGE Marie-claire"
01687_L.tif,GELIN Justine,27/12/2006 (Etobon),01687,BAAF ASSURANCES,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: GELIN Justine"
01692_L.tif,GUILLON VINCENT,28/12/2006 (KERPRICH),01692,Monsieur le Directeur,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: GUILLON Vincent"
01693_L.tif,Corinne GONCALVES,29/12/2006 (Sessenheim),01693,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: GONCALVES Corinne"
01691_L.tif,Dumart Djamila,,01691,Agence Nationale Pour l'Emploi,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: DUMONT Djamila"
01686_L.tif,JULIA Karine,,01686,Les 3 Suifs,,"Сценарий: Претензия, Автор: JULIA Karine"
01694_L.tif,JACQUES Bernard,15/12/2006 (TENDE),01694,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: JACQUES Bernard"
01703_L.tif,LAURET Jerome,25/12/2006 (OTTROTT),01703,BMP - Banque Mutuelle de Paris,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LAURET Jerome"
01688_L.tif,Clemencon Chaima,02/03/2007 (Saulnes),01688,Sépa FR Téléphonie,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: CLEMENCON Chaima"
01690_L.tif,Mme Marie PONCET,,01690,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PONCET Marie"
01696_L.tif,Annabelle PEREZ,27/12/2006 (Hilsenheim),01696,Manif Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: PEREZ Annabelle"
01699_L.tif,POTTIER Mathieu,24/12/2006 (Riedwihr),01699,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: POTTIER Mathieu"
01689_L.tif,M. Michel Guillemot,,01689,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: GUILLEMOT Michel"
01700_L.tif,Mickael Trevisan,13/12/2006 (Houdan),01700,Monsieur le directeur,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: TREVISAN Mickael"
01697_L.tif,Touil Sabri,18/12/2006 (Gunstett),01697,membre du personnel,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: TOUIL Sabri"
01720_L.tif,Laurence Daumont,02/01/2007 (Chamerol),01720,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: DAUMONT Laurence"
01716_L.tif,LEGRIX Isabelle,26/12/2006,01716,Les 3 SUIFS,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LEGRIX Isabelle"
01723_L.tif,LEROUX Marcel,02/01/2007 (Wittenheim),01723,les 3 SUIFS,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LEROUX Marcel"
01713_L.tif,BOSSE Emilie,27/12/2006 (MONBOUTON),01713,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: BOSSE Emilie"
01708_L.tif,Mme RENOU Delphine,19/12/2006 (Villey-le-sec),01708,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: RENOU Delphine"
01719_L.tif,Madame Ghislaine METZ,26/12/2006 (Rottelsheim),01719,FRANCE TELEPHONE,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: METZ Ghislaine"
01705_L.tif,Pascale Brunier,,01705,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: BRUNIER Pascale"
01717_L.tif,Mme BINET Adeline,27/12/2006 (Merserange le 27 Décembre 2006),01717,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BINET Adeline"
01707_L.tif,LADET Stéphanie,21/12/2006 (Sancey Le Long),01707,Mensuel Fleurs & Merguez,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: LADET Stephanie"
01721_L.tif,Charlène Minvielle,31/12/2006,01721,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: MINVIELLE Charline"
01712_L.tif,VILLAUME Franck,27/12/2006 (Ribeauville),01712,N.N.A. Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: VILLAUME Franck"
01709_L.tif,Jean-Yves MONGIN,26/12/2006,01709,BANQUE DEBIT LYONNAIS,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: MONGIN Jean-yves"
01706_L.tif,Maryvonne LEQUEUX,22/12/2006 (Habsheim),01706,EDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: LEQUEUX Maryvonne"
01724_L.tif,Mme DOUILLARD Christiane,Raedersheim (le 26/12/06),01724,ANPE,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: DOUILLARD Christiane"
